Year,nCows,lbsBeef
1920,12525,NA
1921,12292,NA
1922,12182,NA
1923,11974,NA
1924,11926,NA
1925,11204,NA
1926,10294,NA
1927,9439,NA
1928,8926,NA
1929,8997,NA
1930,9162,NA
1931,9809,NA
1932,10439,NA
1933,11346,NA
1934,12678,NA
1935,11151,NA
1936,11048,NA
1937,10682,NA
1938,10132,NA
1939,9987,NA
1940,10676,NA
1941,11366,NA
1942,12578,NA
1943,13980,NA
1944,15521,NA
1945,16456,NA
1946,16408,NA
1947,16488,NA
1948,16010,NA
1949,15919,NA
1950,16743,7053 
1951,18526,6432 
1952,20863,7157 
1953,23291,9369 
1954,25050,9682 
1955,25659,10195 
1956,25371,11018 
1957,24534,10704 
1958,24165,10106 
1959,25112,10461 
1960,26344,11444 
1961,27327.4,12025 
1962,28691.4,11985 
1963,30588.6,13137 
1964,32793.8,15102 
1965,34238,15422 
1966,34442.2,16220 
1967,34708.3,16829 
1968,35565.4,17848 
1969,36510.5,18473 
1970,36689.6,19152 
1971,37877.6,19375 
1972,38809.6,20240 
1973,40931.6,19295 
1974,43181.7,20937 
1975,45711.8,21628 
1976,43900.6,23723 
1977,41443.4,23365 
1978,38738.4,22623 
1979,37061.8,20059 
1980,37107.4,20275 
1981,38773.1,21042 
1982,39229.6,21334 
1983,37939.6,22058 
1984,37483.9,22508 
1985,35405.5,22709 
1986,33753.3,23456 
1987,33945.4,22746 
1988,33182.6,22837 
1989,32487.6,22457 
1990,32454.7,22152 
1991,32519.8,22341 
1992,33006.8,22524 
1993,33364.9,22528 
1994,34602.9,23873 
1995,35190.3,24692 
1996,35318.7,24947 
1997,34457.9,24963 
1998,33885,25265 
1999,33750.4,25998 
2000,33575,26405 
2001,33398.2,25743 
2002,33133.7,26713 
2003,32983.3,25881 
2004,32531.3,24191 
2005,32674.4,24328 
2006,32702.5,25792 
2007,32644.2,26070 
2008,32434.5,26200 
2009,31793.8,25598 
2010,31439.9,25954 
2011,30912.6,25854 
2012,30281.9,25573 
2013,29631.3,25385 
2014,28956.4,23934 
2015,29332.1,23395 
2016,30163.8,24908 
2017,31170.7,25856 
2018,31466.2,26536 
2019,31690.7,26821 
2020,31338.7,26738 
,,
